foodweb-baywet_x,foodweb-baywet_mix,foodweb-baywet_ba,foodweb-baywet_finder,foodweb-baywet_ci,foodweb-baywet_gdm,foodweb-baywet_corehd,faa_x,faa_mix,faa_ba,faa_finder,faa_ci,faa_gdm,faa_corehd,moreno_crime_projected_x,moreno_crime_projected_mix,moreno_crime_projected_ba,moreno_crime_projected_finder,moreno_crime_projected_ci,moreno_crime_projected_gdm,moreno_crime_projected_corehd
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0078125,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,0.9921875,0.0008156606851549756,0.9991843393148451,0.9991843393148451,0.9926590538336052,0.9991843393148451,0.9991843393148451,0.9967373572593801,0.001326259946949602,0.9973474801061007,0.9973474801061007,0.9840848806366048,0.9973474801061007,0.993368700265252,0.9973474801061007
0.015625,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.0016313213703099511,0.9975530179445351,0.9975530179445351,0.9877650897226754,0.9975530179445351,0.99836867862969,0.9959216965742251,0.002652519893899204,0.9827586206896551,0.986737400530504,0.9787798408488063,0.9827586206896551,0.9893899204244032,0.9827586206896551
0.0234375,0.9765625,0.9765625,0.9765625,0.9765625,0.9765625,0.9765625,0.0024469820554649264,0.9967373572593801,0.9967373572593801,0.9853181076672104,0.9967373572593801,0.9975530179445351,0.9942903752039152,0.003978779840848806,0.9721485411140584,0.980106100795756,0.9721485411140584,0.9721485411140584,0.9827586206896551,0.9761273209549072
0.03125,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.0032626427406199023,0.9959216965742251,0.9959216965742251,0.9828711256117455,0.9959216965742251,0.9967373572593801,0.9934747145187602,0.005305039787798408,0.96684350132626,0.9761273209549072,0.9641909814323607,0.96684350132626,0.9787798408488063,0.9655172413793104
0.0390625,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.9609375,0.004078303425774877,0.9951060358890701,0.9951060358890701,0.9804241435562806,0.9951060358890701,0.9959216965742251,0.9926590538336052,0.006631299734748011,0.9602122015915119,0.9615384615384616,0.9575596816976127,0.9602122015915119,0.9708222811671088,0.9602122015915119
0.046875,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.004893964110929853,0.9942903752039152,0.9942903752039152,0.9763458401305057,0.9942903752039152,0.9951060358890701,0.9918433931484503,0.007957559681697613,0.9562334217506632,0.9562334217506632,0.9496021220159151,0.9562334217506632,0.96684350132626,0.9575596816976127
0.0546875,0.9453125,0.9453125,0.9453125,0.9453125,0.9453125,0.9453125,0.005709624796084829,0.9934747145187602,0.9910277324632952,0.9730831973898858,0.9910277324632952,0.9926590538336052,0.9910277324632952,0.009283819628647215,0.9535809018567639,0.9549071618037135,0.9416445623342176,0.9535809018567639,0.9588859416445623,0.9509283819628647
0.0625,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.0065252854812398045,0.9926590538336052,0.9902120717781403,0.9714518760195758,0.9902120717781403,0.9918433931484503,0.9902120717781403,0.010610079575596816,0.9376657824933687,0.9535809018567639,0.9350132625994695,0.9376657824933687,0.9509283819628647,0.946949602122016
0.0703125,0.9296875,0.9296875,0.9296875,0.9296875,0.9296875,0.9296875,0.00734094616639478,0.9918433931484503,0.9893964110929854,0.9706362153344209,0.9885807504078303,0.9910277324632952,0.9885807504078303,0.011936339522546418,0.9336870026525199,0.9522546419098143,0.9204244031830239,0.9336870026525199,0.946949602122016,0.9403183023872679
