mix,Density_mix,Entropy_mix,Heterogeneity_mix,Gini_mix,Resilience_mix,Transitivity_mix,None_mix
0.327072,0.352328,0.35686399999999996,0.33209600000000006,0.322576,0.404528,0.32721600000000006,0.351152
0.28185599999999994,0.33396000000000003,0.32131199999999993,0.283312,0.27599999999999997,0.35894400000000004,0.286704,0.293088
0.291856,0.31965599999999994,0.331104,0.295984,0.293312,0.36528,0.29905599999999993,0.32124800000000003
0.32652800000000004,0.351048,0.35944,0.32272,0.32289600000000007,0.384672,0.32814400000000005,0.36601600000000006
0.32808,0.351928,0.359232,0.33742399999999995,0.335696,0.39825600000000005,0.33016,0.357296
0.190768,0.24085600000000001,0.220112,0.194848,0.19496,0.263824,0.191632,0.20848000000000003
0.08291200000000003,0.15013600000000002,0.09627199999999997,0.09447999999999998,0.08420799999999998,0.11531200000000004,0.08987200000000001,0.094688
0.329712,0.361448,0.363984,0.334304,0.31920000000000004,0.39032,0.325232,0.364912
0.10584000000000003,0.15736799999999998,0.12819200000000003,0.10944000000000001,0.10624,0.155712,0.11592,0.10819200000000001
0.327392,0.34364,0.36116800000000004,0.33934400000000003,0.3332,0.3784320000000001,0.3328,0.36001600000000006
0.31596799999999997,0.332888,0.3523839999999999,0.321536,0.31904,0.387168,0.318432,0.35630399999999995
0.319808,0.346248,0.355112,0.323072,0.31967999999999996,0.40048000000000006,0.31808,0.34966400000000003
0.17220800000000006,0.248888,0.222608,0.17825599999999994,0.17396799999999996,0.229296,0.178816,0.18598400000000004
0.3169119999999999,0.353528,0.36083199999999993,0.326752,0.32088,0.391648,0.321504,0.37396799999999997
0.237152,0.28072800000000003,0.280944,0.237344,0.238656,0.302208,0.239488,0.275968
0.24775999999999998,0.281336,0.29283200000000004,0.256928,0.251728,0.299824,0.246736,0.281552
0.1104,0.161856,0.13787200000000005,0.11884800000000001,0.10929599999999999,0.16179199999999996,0.114464,0.12368000000000001
0.17235200000000003,0.20127199999999998,0.202128,0.17164799999999997,0.17788799999999996,0.2364,0.176928,0.17273600000000003
0.24896,0.286872,0.276896,0.2513759999999999,0.24675199999999997,0.31452800000000003,0.253376,0.292224
0.281024,0.32472,0.322592,0.28633600000000003,0.282624,0.347408,0.28504,0.3024
0.17598400000000003,0.21610400000000002,0.20719999999999997,0.18156799999999998,0.17564799999999997,0.242512,0.17830400000000002,0.19809599999999997
0.10745600000000004,0.15870399999999998,0.12852800000000006,0.115968,0.1096,0.13375999999999996,0.115984,0.11608000000000002
0.323296,0.35109599999999996,0.359856,0.331424,0.32379199999999997,0.38512,0.32638399999999995,0.35304
0.18647999999999998,0.213864,0.207792,0.18792,0.181184,0.267216,0.189472,0.23151999999999998
0.252016,0.28720799999999996,0.285328,0.25105599999999995,0.24899199999999996,0.337936,0.260728,0.27129600000000004
0.24180800000000002,0.28844000000000003,0.27971199999999996,0.246688,0.24424000000000004,0.31688,0.242192,0.276192
0.289424,0.35088800000000003,0.33932799999999996,0.296464,0.292176,0.357568,0.29268800000000006,0.317232
0.283312,0.307616,0.32816,0.28755200000000003,0.28271999999999997,0.36648000000000003,0.28592,0.329904
0.295888,0.335032,0.31988799999999995,0.303152,0.29958399999999996,0.34880000000000005,0.30054400000000003,0.342832
0.19672000000000003,0.250248,0.233424,0.2028,0.196736,0.261312,0.20551199999999997,0.207792
0.285248,0.33637599999999995,0.325424,0.287184,0.280304,0.368,0.291344,0.307728
0.181456,0.23355999999999996,0.222528,0.18532799999999996,0.181536,0.275504,0.18683200000000003,0.183888
0.33265599999999995,0.367736,0.36656,0.33848,0.335328,0.39088,0.333872,0.350784
0.299008,0.32684,0.317464,0.302688,0.296848,0.359504,0.300832,0.32497600000000004
0.28956800000000005,0.31556,0.323472,0.296128,0.29190400000000005,0.36345600000000006,0.293408,0.320608
0.10553600000000003,0.167704,0.12691200000000002,0.11494399999999999,0.10505600000000001,0.14654399999999998,0.11742400000000001,0.11987200000000002
0.10672000000000001,0.17189600000000002,0.11772799999999997,0.10689600000000003,0.10636799999999999,0.165072,0.10836799999999999,0.11995200000000003
0.17924800000000002,0.255224,0.21435200000000001,0.184912,0.181552,0.22833599999999998,0.18724800000000003,0.19640000000000002
0.28056000000000003,0.29558399999999996,0.32808,0.287632,0.27700800000000003,0.365456,0.28099199999999996,0.315152
0.31665600000000005,0.345832,0.36144000000000004,0.326992,0.31868799999999997,0.372688,0.316736,0.340208
0.09486400000000002,0.131864,0.11907200000000001,0.10019200000000002,0.09584000000000001,0.14344,0.09924799999999999,0.14476799999999998
0.235456,0.264616,0.279648,0.24099199999999996,0.238864,0.32873600000000003,0.24024800000000002,0.27932799999999997
0.246176,0.29652,0.274944,0.249872,0.243472,0.30579200000000006,0.248192,0.263344
0.245536,0.27429600000000004,0.29476800000000003,0.24649599999999997,0.250128,0.305088,0.246736,0.26081599999999994
0.09380800000000002,0.13928800000000002,0.11838399999999996,0.09536,0.09369599999999999,0.149472,0.10126399999999998,0.101968
