sw,Density_sw,Entropy_sw,Heterogeneity_sw,Gini_sw,Resilience_sw,Transitivity_sw,None_sw
0.065808,0.028272,0.038336,0.050536,0.032799999999999996,0.042312,0.033088,0.046175999999999995
0.08811200000000002,0.029744,0.06815999999999998,0.06051999999999999,0.03575999999999999,0.041319999999999996,0.033376,0.0548
0.34178400000000003,0.23963199999999998,0.25032,0.23903199999999997,0.248928,0.285112,0.268992,0.238656
0.054864,0.022671999999999998,0.032880000000000006,0.040664000000000006,0.028815999999999998,0.040279999999999996,0.04616,0.031296
0.058927999999999994,0.030688,0.042688000000000004,0.059688000000000005,0.033904,0.047832000000000006,0.036016,0.04219199999999999
0.39423199999999997,0.23128,0.224768,0.235336,0.278064,0.29269599999999996,0.250112,0.24728
0.36892800000000003,0.249616,0.251344,0.2695759999999999,0.2664,0.277,0.251904,0.26552000000000003
0.40152000000000004,0.337984,0.3396640000000001,0.34148,0.35387199999999996,0.35828000000000004,0.367312,0.32792
0.353976,0.264976,0.26374400000000003,0.25479199999999996,0.27518400000000004,0.26436,0.254096,0.271712
0.27680000000000005,0.243088,0.22454400000000002,0.20239200000000002,0.18843200000000002,0.259336,0.271184,0.253232
0.37857599999999997,0.35171199999999997,0.33865599999999996,0.34269600000000006,0.34887999999999997,0.33932,0.3799199999999999,0.36387200000000003
0.38574400000000003,0.34318400000000004,0.35208000000000006,0.385032,0.35247999999999996,0.36628000000000005,0.378528,0.36286399999999996
0.361872,0.25288,0.23256000000000002,0.25256799999999996,0.24929600000000002,0.271592,0.267936,0.256544
0.076992,0.031408,0.05307200000000001,0.06075999999999999,0.032384,0.036552,0.034496,0.048544
0.38736800000000005,0.336448,0.30977600000000005,0.355576,0.325776,0.35807199999999995,0.35593600000000003,0.34972800000000004
0.27844800000000003,0.257328,0.23012800000000003,0.249656,0.218192,0.23744800000000002,0.244384,0.25214400000000003
0.074112,0.031008,0.046896,0.06242399999999999,0.03856,0.043736000000000004,0.042064000000000004,0.038128
0.29498399999999997,0.23198400000000002,0.206272,0.22192800000000001,0.230288,0.24051999999999998,0.25070400000000004,0.242432
0.383688,0.337168,0.326208,0.35733600000000004,0.330256,0.34775200000000006,0.324064,0.34732799999999997
0.07008000000000002,0.029567999999999994,0.04488000000000001,0.05637599999999999,0.027904,0.05205599999999999,0.038239999999999996,0.03929599999999999
0.312288,0.2508,0.228832,0.26904799999999995,0.261872,0.28872800000000004,0.268896,0.2556
0.38345599999999996,0.261552,0.21776,0.26743199999999995,0.24737600000000004,0.284024,0.251744,0.260656
0.361296,0.3562560000000001,0.328688,0.346616,0.34712,0.344984,0.36319999999999997,0.360768
0.295848,0.253984,0.23123200000000002,0.189048,0.21616000000000002,0.27484,0.25088,0.253616
0.32421599999999995,0.250144,0.25304,0.29330399999999995,0.270208,0.266376,0.275296,0.249824
0.38905599999999996,0.361696,0.329168,0.35058399999999995,0.36960000000000004,0.3534,0.351488,0.35975999999999997
0.33536,0.26849599999999996,0.234144,0.27351200000000003,0.257536,0.29588,0.25075200000000003,0.24671999999999997
0.410864,0.34964800000000007,0.338688,0.34992799999999996,0.362768,0.33524,0.353584,0.3574240000000001
0.09178400000000002,0.030752,0.047664,0.048232,0.029184,0.046919999999999996,0.028751999999999996,0.04207999999999999
0.284688,0.230064,0.22873599999999997,0.265144,0.240912,0.264632,0.256144,0.24912
0.40166399999999997,0.33358400000000005,0.341584,0.36316000000000004,0.34508800000000006,0.35610400000000003,0.366816,0.33244799999999997
0.07156799999999999,0.024607999999999994,0.03892800000000001,0.06408799999999999,0.028192,0.031784,0.029199999999999997,0.039999999999999994
0.308488,0.253744,0.24408000000000002,0.27948000000000006,0.24588800000000002,0.255736,0.28627199999999997,0.238112
0.07704000000000001,0.03398399999999999,0.06961599999999998,0.06272799999999999,0.03272,0.053671999999999984,0.039936,0.06171199999999999
0.282024,0.257728,0.250512,0.24975200000000003,0.233984,0.27162400000000003,0.265328,0.24515199999999998
0.06508800000000001,0.034912,0.051727999999999996,0.054984000000000005,0.0316,0.04019999999999999,0.03188800000000001,0.048111999999999995
0.07634400000000001,0.027696,0.047936,0.054040000000000005,0.032783999999999994,0.04724,0.040128,0.044016
0.30011200000000005,0.260672,0.250528,0.273464,0.253712,0.27259999999999995,0.27496000000000004,0.24176
