er,Density_er,Entropy_er,Heterogeneity_er,Gini_er,Resilience_er,Transitivity_er,None_er
0.44889599999999996,0.458352,0.45503199999999994,0.4568479999999999,0.45119999999999993,0.46521599999999996,0.451904,0.4532959999999999
0.08873456790123456,0.10725308641975308,0.08873456790123456,0.12654320987654322,0.08873456790123456,0.09722222222222224,0.09645061728395062,0.08950617283950617
0.453488,0.46014399999999994,0.463608,0.45722399999999996,0.45388799999999996,0.46437599999999996,0.45438399999999995,0.458032
0.476736,0.47087999999999997,0.4749360000000001,0.47654399999999997,0.469808,0.479408,0.468992,0.470616
0.07817860994020197,0.0828840309773552,0.07866875796490541,0.09753945691598863,0.07866875796490541,0.08582491912557594,0.07847269875502404,0.07631604744632879
0.44499199999999994,0.45983999999999997,0.45387999999999995,0.452576,0.446944,0.46275199999999994,0.4538559999999999,0.443824
0.05197579209683161,0.05811676753292987,0.051352794588821644,0.07026521893912423,0.049038803844784616,0.055624777500889996,0.05589177643289427,0.04957280170879316
0.29580799999999996,0.31014400000000003,0.315136,0.3195200000000001,0.299424,0.314592,0.304608,0.299664
0.45039999999999997,0.4604,0.45541600000000004,0.4532959999999999,0.45211199999999996,0.465728,0.45300799999999997,0.45076799999999995
0.046086956521739136,0.046843100189035924,0.04706994328922496,0.06015122873345936,0.06907372400756144,0.049565217391304345,0.04933837429111531,0.0454820415879017
0.0771484375,0.0849609375,0.0771484375,0.119140625,0.083984375,0.078125,0.080078125,0.078125
0.299872,0.32339200000000007,0.312272,0.323168,0.305296,0.337632,0.306672,0.299264
0.450624,0.4603999999999999,0.4581839999999999,0.460848,0.455504,0.462864,0.44646399999999997,0.454248
0.412864,0.420864,0.414192,0.415392,0.40856,0.41907199999999994,0.414464,0.40831999999999996
0.410416,0.434832,0.420568,0.42452799999999996,0.41455999999999993,0.430816,0.412016,0.412288
0.301952,0.298848,0.310672,0.315344,0.302272,0.326048,0.305728,0.30171200000000004
0.454624,0.459696,0.46266399999999996,0.45740800000000004,0.453744,0.470608,0.45297599999999993,0.454048
0.46772800000000003,0.47620799999999996,0.471912,0.47651199999999994,0.468784,0.47787199999999996,0.470416,0.47254399999999996
0.41310399999999997,0.42371200000000003,0.42125599999999996,0.4183680000000001,0.41870399999999997,0.423488,0.414608,0.41068799999999994
0.47006400000000004,0.47296000000000005,0.474552,0.47121599999999997,0.468256,0.48419199999999996,0.46968,0.468784
0.07076446280991733,0.08212809917355372,0.07076446280991733,0.10304752066115701,0.07128099173553716,0.08316115702479338,0.10330578512396693,0.07128099173553716
0.3189867905356365,0.33114788471153694,0.3373897195206529,0.33115594909759516,0.3199867744068644,0.33722843179948714,0.3235512330446283,0.3108095030725311
0.06239149305555555,0.06759982638888892,0.06282552083333334,0.07763671875,0.058376736111111105,0.08289930555555555,0.07074652777777782,0.05913628472222222
0.47707199999999994,0.473712,0.47290399999999994,0.473392,0.47072,0.47796799999999995,0.469792,0.468704
0.3065192496895211,0.3197448428251157,0.3195996838760665,0.32772858502282215,0.3060031289817906,0.3368574700408058,0.30416444896050066,0.3035031693037209
0.45424,0.4606239999999999,0.46570400000000006,0.45420799999999995,0.45406399999999997,0.46777599999999997,0.452144,0.45543999999999996
0.44895999999999997,0.46020799999999995,0.4566799999999999,0.4575039999999999,0.44790399999999997,0.465008,0.449088,0.450912
0.45199999999999996,0.461408,0.453592,0.45824,0.452912,0.468576,0.45262399999999997,0.45364
0.09467455621301776,0.10946745562130178,0.09467455621301776,0.1390532544378698,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.09467455621301776
0.29408,0.307504,0.30486399999999997,0.31907199999999997,0.295616,0.31920000000000004,0.304144,0.294432
0.318192,0.337664,0.315584,0.32736,0.321808,0.34752000000000005,0.32435200000000003,0.31328000000000006
0.41312000000000004,0.429072,0.417256,0.422848,0.41280000000000006,0.43295999999999996,0.41408,0.40984
0.29249600000000003,0.31265600000000004,0.30712,0.323648,0.297776,0.32184,0.296016,0.2944
0.408944,0.422432,0.41765599999999997,0.42064799999999997,0.413488,0.434928,0.40728,0.415232
0.04861111111111112,0.050734618916437095,0.04809458218549127,0.07423668503213954,0.05825298438934801,0.06479568411386595,0.05498163452708907,0.04683195592286501
0.46564799999999995,0.47231999999999996,0.4731280000000001,0.47508799999999995,0.46764799999999995,0.4864319999999999,0.4696,0.47264
0.453504,0.46254399999999996,0.464392,0.45963199999999993,0.45444799999999996,0.464592,0.45510399999999995,0.45565599999999995
0.46816,0.472256,0.47359200000000007,0.4782479999999999,0.471616,0.47964799999999996,0.47096000000000005,0.47020799999999996
0.46587199999999995,0.47110399999999997,0.47133600000000003,0.47511200000000003,0.46743999999999997,0.48142399999999996,0.46615999999999996,0.4676
0.466896,0.476336,0.471112,0.47307199999999994,0.47051200000000004,0.478992,0.46817600000000004,0.471696
0.409312,0.41908799999999996,0.42405600000000004,0.41737599999999997,0.413056,0.4255359999999999,0.41934399999999994,0.408032
0.47568,0.47856,0.47631200000000007,0.47852,0.47031999999999996,0.485168,0.472032,0.471024
