Obj,ba_ba,ba_er,ba_sw,ba_regular,ba_sbm,mix_ba,mix_er,mix_sw,mix_regular,mix_sbm,finder_ba,finder_er,finder_sw,finder_regular,finder_sbm,gdm_ba,gdm_er,gdm_sw,gdm_regular,gdm_sbm,ci_ba,ci_er,ci_sw,ci_regular,ci_sbm,corehd_ba,corehd_er,corehd_sw,corehd_regular,corehd_sbm
MinMax,0.46177599999999996,0.44967199999999996,0.46669599999999994,0.37106399999999995,0.12054892357922661,0.46916800000000003,0.44784000000000007,0.46652799999999994,0.37488,0.12539536781961025,0.47322400000000003,0.472664,0.47920799999999997,0.363208,0.11775584124068972,0.47676,0.48050400000000004,0.47564,0.379816,0.17930568309356187,0.459944,0.451832,0.45180000000000003,0.38530400000000004,0.12607131925313744,0.458632,0.45207200000000003,0.46940000000000004,0.37591199999999997,0.1293362922150801
MinMax,0.463408,0.465008,0.42047999999999996,0.401056,0.11711977106304183,0.468464,0.465712,0.411408,0.43201600000000007,0.11606767107145864,0.474984,0.4817199999999999,0.442552,0.43204,0.10982871812137025,0.477016,0.48572000000000004,0.404712,0.46172,0.1899145694806835,0.461672,0.468152,0.38988,0.41933600000000004,0.12085472603316218,0.459896,0.47034400000000004,0.402824,0.435896,0.1219699520242404
MinMax,0.321472,0.13999999999999999,0.45424000000000003,0.440704,0.1143632690850938,0.323504,0.16000000000000003,0.46123200000000003,0.453392,0.11103863311169093,0.314648,0.28,0.48170399999999997,0.47901599999999994,0.10591490615268075,0.36024799999999996,0.32,0.471864,0.481816,0.22932623516539014,0.326184,0.32,0.454712,0.433016,0.11858219005134246,0.323624,0.32,0.46290400000000004,0.461816,0.12363227001094185
MinMax,0.10751999999999998,0.45683999999999997,0.391312,0.45123199999999997,0.12359158005065946,0.10907200000000002,0.45072000000000007,0.370512,0.46768,0.1287448685474714,0.10512800000000003,0.468264,0.40344800000000003,0.48840799999999995,0.11475893091099659,0.19093600000000005,0.47844,0.382168,0.485576,0.19611974844964625,0.11303199999999998,0.450792,0.371464,0.43642400000000003,0.12860293475412699,0.11412000000000003,0.45114400000000004,0.377224,0.47042400000000006,0.12796969167612893
MinMax,0.422416,0.496104,0.21227200000000002,0.28844000000000003,0.08111041097808583,0.41944,0.49582399999999993,0.20883200000000005,0.30247999999999997,0.08636140866764686,0.43035999999999996,0.496536,0.23387999999999998,0.257768,0.08380592312539381,0.44442400000000004,0.499064,0.22282399999999997,0.198392,0.30369436859670007,0.42311200000000004,0.49468,0.212184,0.30124,0.08625638871385564,0.423496,0.49556,0.22512800000000002,0.277624,0.08634973978389227
MinMax,0.46193599999999996,0.3497443589619522,0.40647199999999994,0.3710319999999999,0.11122411242603553,0.46824,0.3497766165061854,0.39716799999999997,0.37488,0.11589312130177516,0.475,0.3623167368268254,0.444104,0.363208,0.0987541605029586,0.47724,0.38136481669650485,0.427736,0.34696800000000005,0.15838803624260356,0.46306400000000003,0.35265560232899473,0.402376,0.38530400000000004,0.11835475221893495,0.46140000000000003,0.34713956226512477,0.41611999999999993,0.388104,0.11488766642011834
MinMax,0.4489519999999999,0.49491199999999996,0.030392000000000002,0.4512479999999999,0.11085990413165403,0.458128,0.49460799999999994,0.033552,0.46768,0.11332453569834464,0.463784,0.49584799999999996,0.031544,0.48840799999999995,0.09666401443847156,0.47063200000000005,0.498776,0.05800800000000001,0.48973600000000006,0.18985425682625323,0.45029600000000003,0.493144,0.038216,0.43642400000000003,0.11428515981292087,0.44954400000000005,0.49325600000000003,0.056232,0.460616,0.11684682411845757
MinMax,0.10304000000000002,0.469568,0.4693919999999999,0.430496,0.1133187967248131,0.10716800000000001,0.46945600000000004,0.455728,0.46356800000000004,0.12088376646493412,0.101304,0.48405599999999993,0.48251999999999995,0.48539999999999994,0.11017043431826273,0.18679199999999999,0.4882,0.47632800000000003,0.482872,0.21685875756496972,0.11061599999999998,0.46861600000000003,0.452056,0.43684,0.12276388394446419,0.115736,0.468264,0.465112,0.439128,0.12400987896048415
MinMax,0.323248,0.2736895161290323,0.449888,0.4512479999999999,0.09986138956956511,0.323008,0.2740309573361082,0.45080000000000003,0.467536,0.10488601767282989,0.303944,0.2525608090530697,0.47237599999999996,0.48840799999999995,0.0941065815202594,0.35836,0.3121341701352757,0.4678,0.489688,0.23917724808791863,0.32428,0.2742829734651404,0.443496,0.43642400000000003,0.10957649563129628,0.31752800000000003,0.27251073100936524,0.460504,0.45818400000000004,0.10388356723843468
MinMax,0.25255999999999995,0.48115199999999997,0.443872,0.401056,0.1261547282804901,0.255424,0.48412799999999995,0.44588800000000006,0.43201600000000007,0.12420098112085627,0.24476,0.488776,0.46818400000000004,0.43204,0.11406060863471301,0.35258400000000006,0.493416,0.467256,0.453672,0.23009620081122978,0.25700000000000006,0.484024,0.437,0.41933600000000004,0.12374439890420269,0.2678479999999999,0.48328800000000005,0.44975200000000004,0.425688,0.1251247637452484
MinMax,0.443952,0.469472,0.46403199999999994,0.470544,0.11743801652892559,0.4449120000000001,0.464832,0.4614400000000001,0.48628800000000005,0.11737603305785123,0.46106400000000003,0.48074399999999995,0.47259999999999996,0.49084000000000005,0.11294421487603307,0.461496,0.485592,0.474088,0.49642400000000003,0.2644111570247934,0.44493600000000005,0.468424,0.434024,0.45042400000000005,0.12166322314049588,0.444632,0.46816800000000003,0.459224,0.461928,0.1272210743801653
MinMax,0.46174400000000004,0.21875,0.450976,0.389432,0.11040562466197949,0.46619200000000005,0.21875,0.44953600000000005,0.426896,0.11367225527312061,0.47388,0.28125,0.473352,0.43539999999999995,0.10836127636560305,0.47708,0.34375,0.46330400000000005,0.43228000000000005,0.2064034613304489,0.45956,0.40625,0.440504,0.411752,0.11757706868577611,0.461592,0.34375,0.4466,0.411192,0.12015143320713899
MinMax,0.42215199999999997,0.21875,0.027728,0.389624,0.0980366941015089,0.427344,0.21875,0.03216,0.426896,0.10116598079561043,0.43667999999999996,0.28125,0.029303999999999997,0.43539999999999995,0.09663280178326475,0.44098400000000004,0.34375,0.065416,0.41770399999999996,0.28668338477366256,0.424808,0.40625,0.036712,0.411752,0.1073924039780521,0.42068,0.34375,0.047415999999999986,0.41490400000000005,0.10301997599451303
