0 138.0 115.0 61.0 88.0 197.0 121.0
1 66.0 78.0 37.0 17.0 3.0 15.0
17 68.0 41.0 28.0 20.0 309.0 18.0
39 91.0 146.0 64.0 53.0 309.0 96.0
45 124.0 1.0 87.0 76.0 1.0 109.0
105 128.0 2.0 89.0 81.0 309.0 309.0
112 41.0 265.0 309.0 22.0 133.0 309.0
130 44.0 266.0 309.0 24.0 164.0 102.0
220 109.0 178.0 197.0 77.0 221.0 309.0
233 113.0 179.0 79.0 83.0 235.0 129.0
248 137.0 3.0 90.0 89.0 76.0 309.0
252 45.0 267.0 309.0 27.0 47.0 112.0
258 163.0 104.0 309.0 119.0 140.0 140.0
282 309.0 105.0 309.0 128.0 198.0 309.0
4 309.0 79.0 309.0 309.0 183.0 309.0
5 309.0 113.0 161.0 309.0 216.0 309.0
10 47.0 268.0 309.0 29.0 226.0 309.0
18 147.0 116.0 309.0 97.0 171.0 309.0
30 129.0 129.0 12.0 82.0 227.0 123.0
31 56.0 269.0 309.0 32.0 309.0 89.0
37 94.0 147.0 309.0 57.0 100.0 63.0
42 28.0 270.0 309.0 10.0 206.0 8.0
81 98.0 148.0 66.0 60.0 20.0 87.0
84 103.0 149.0 27.0 64.0 309.0 108.0
92 57.0 185.0 135.0 23.0 5.0 57.0
96 58.0 186.0 146.0 25.0 309.0 309.0
100 110.0 150.0 26.0 67.0 142.0 309.0
139 59.0 271.0 132.0 35.0 6.0 309.0
166 118.0 180.0 60.0 91.0 131.0 139.0
170 61.0 187.0 140.0 28.0 176.0 37.0
172 139.0 130.0 309.0 90.0 204.0 309.0
182 146.0 4.0 39.0 98.0 128.0 120.0
199 135.0 181.0 169.0 63.0 7.0 77.0
204 309.0 54.0 52.0 309.0 207.0 309.0
205 309.0 55.0 40.0 309.0 175.0 309.0
210 309.0 106.0 309.0 309.0 143.0 309.0
212 122.0 182.0 3.0 100.0 187.0 117.0
218 154.0 5.0 88.0 105.0 138.0 309.0
232 60.0 272.0 309.0 37.0 9.0 35.0
236 152.0 117.0 309.0 104.0 185.0 110.0
237 63.0 188.0 309.0 30.0 82.0 309.0
244 1.0 184.0 116.0 2.0 228.0 3.0
245 164.0 6.0 83.0 114.0 52.0 97.0
247 309.0 107.0 309.0 309.0 192.0 309.0
250 64.0 189.0 182.0 33.0 8.0 74.0
253 100.0 73.0 175.0 31.0 144.0 28.0
287 309.0 82.0 309.0 309.0 139.0 309.0
2 309.0 108.0 309.0 309.0 2.0 309.0
3 48.0 43.0 98.0 130.0 67.0 309.0
8 49.0 44.0 99.0 309.0 74.0 309.0
9 34.0 183.0 151.0 9.0 64.0 6.0
20 127.0 196.0 1.0 107.0 66.0 98.0
22 29.0 239.0 48.0 309.0 101.0 309.0
23 6.0 17.0 112.0 309.0 37.0 309.0
26 30.0 244.0 47.0 309.0 54.0 309.0
28 69.0 190.0 167.0 36.0 75.0 309.0
32 70.0 191.0 174.0 38.0 46.0 30.0
36 62.0 273.0 122.0 14.0 121.0 17.0
50 8.0 228.0 74.0 131.0 4.0 137.0
51 9.0 230.0 75.0 309.0 201.0 309.0
63 33.0 274.0 172.0 8.0 44.0 13.0
65 18.0 27.0 309.0 309.0 234.0 309.0
70 73.0 192.0 183.0 40.0 36.0 309.0
72 115.0 151.0 25.0 71.0 210.0 85.0
85 65.0 275.0 309.0 39.0 149.0 46.0
91 145.0 198.0 196.0 116.0 81.0 88.0
118 309.0 31.0 309.0 309.0 147.0 309.0
124 309.0 32.0 309.0 309.0 39.0 309.0
129 309.0 109.0 309.0 309.0 309.0 309.0
