graphType,ba_CN_corr,mix_CN_corr,finder_CN,gdm_CN
CNP_ba,0.7998964934317132,0.8142390757958491,1.0,0.2
CNP_er,1.0,0.9860184366336657,0.4503315039548187,0.2
CNP_sw,0.8563313346626429,1.0,0.24137422902954508,0.2
CNP_regular,0.2,0.35110578928481223,0.2238093547830431,1.0
CNP_sbm,0.6229486732286845,0.8533406606549998,1.0,0.2
