graphType,ba,mix,finder,gdm
MinMax_ba,1.0,0.9361941776964564,0.8950436071748196,0.2
MinMax_er,0.9696835004349353,1.0,0.6629594077362619,0.2
MinMax_sw,0.8904323501836686,1.0,0.2,0.5219648648233268
MinMax_regular,1.0,0.37739609298715737,0.2,0.3174845193258283
MinMax_sbm,0.9661071979285325,0.9383976911406491,1.0,0.2
